,Fighter1,Fighter2,Winner,WeightClass
0,Michel Prazeres,Gilbert Burns,Michel Prazeres,Lightweight
0,Rani Yahya,Michinori Tanaka,Rani Yahya,Bantamweight
0,Jussier Formiga,Dustin Ortiz,Jussier Formiga,Flyweight
0,Erick Silva,Luan Chagas,Erick Silva,Welterweight
0,Alan Patrick,Stevie Ray,Alan Patrick,Lightweight
0,Vicente Luque,Hector Urbina,Vicente Luque,Welterweight
0,Gregor Gillespie,Glaico Franca,Gregor Gillespie,Lightweight
0,Michael Johnson,Dustin Poirier,Michael Johnson,Lightweight
0,Derek Brunson,Uriah Hall,Derek Brunson,Middleweight
0,Evan Dunham,Rick Glenn,Evan Dunham,Lightweight
0,Roan Carneiro,Kenny Robertson,Roan Carneiro,Welterweight
0,Islam Makhachev,Chris Wade,Islam Makhachev,Lightweight
0,Chas Skelly,Maximo Blanco,Chas Skelly,Featherweight
0,Gabriel Benitez,Sam Sicilia,Gabriel Benitez,Featherweight
0,Belal Muhammad,Augusto Montano,Belal Muhammad,Welterweight
0,Antonio Carlos Junior,Leonardo Augusto Leleco,Antonio Carlos Junior,Middleweight
0,Jose Quinonez,Joey Gomez,Jose Quinonez,Bantamweight
0,Randy Brown,Erick Montano,Randy Brown,Welterweight
0,draw,Alejandro Perez,draw,0
0,Stipe Miocic,Alistair Overeem,Stipe Miocic,Heavyweight
0,Fabricio Werdum,Travis Browne,Fabricio Werdum,Heavyweight
0,Mickey Gall,CM Punk,Mickey Gall,Welterweight
0,Jimmie Rivera,Urijah Faber,Jimmie Rivera,Bantamweight
0,Jessica Andrade,Joanne Calderwood,Jessica Andrade,Women's Strawweight
0,Bethe Correia,Jessica Eye,Bethe Correia,Women's Bantamweight
0,Brad Tavares,Caio Magalhaes,Brad Tavares,Middleweight
0,Nik Lentz,Michael McBride,Nik Lentz,Lightweight
0,Drew Dober,Jason Gonzalez,Drew Dober,Lightweight
0,Yancy Medeiros,Sean Spencer,Yancy Medeiros,Welterweight
0,Josh Barnett,Andrei Arlovski,Josh Barnett,Heavyweight
0,Alexander Gustafsson,Jan Blachowicz,Alexander Gustafsson,Light Heavyweight
0,Ryan Bader,Ilir Latifi,Ryan Bader,Light Heavyweight
0,Nick Hein,Tae Hyun Bang,Nick Hein,Lightweight
0,Jessin Ayari,Jimmy Wallhead,Jessin Ayari,Welterweight
0,Peter Sobotta,Nicolas Dalby,Peter Sobotta,Welterweight
0,Ashlee Evans-Smith,Veronica Macedo,Ashlee Evans-Smith,Women's Bantamweight
0,Taylor Lapilus,Leandro Issa,Taylor Lapilus,Bantamweight
0,draw,Jarjis Danho,draw,0
0,Jack Hermansson,Scott Askham,Jack Hermansson,Middleweight
0,Rustam Khabilov,Leandro Silva,Rustam Khabilov,Lightweight
0,Demian Maia,Carlos Condit,Demian Maia,Welterweight
0,Anthony Pettis,Charles Oliveira,Anthony Pettis,Featherweight
0,Paige VanZant,Bec Rawlings,Paige VanZant,Women's Strawweight
0,Jim Miller,Joe Lauzon,Jim Miller,Lightweight
0,Sam Alvey,Kevin Casey,Sam Alvey,Middleweight
0,Kyle Bochniak,Enrique Barzola,Kyle Bochniak,Featherweight
0,Alessio Di Chirico,Garreth McLellan,Alessio Di Chirico,Middleweight
0,Felipe Silva,Shane Campbell,Felipe Silva,Lightweight
0,Chad Laprise,Thibault Gouti,Chad Laprise,Lightweight
0,Jeremy Kennedy,Alessandro Ricci,Jeremy Kennedy,Lightweight
0,Conor McGregor,Nate Diaz,Conor McGregor,Welterweight
0,Anthony Johnson,Glover Teixeira,Anthony Johnson,Light Heavyweight
0,Donald Cerrone,Rick Story,Donald Cerrone,Welterweight
0,Mike Perry,Hyun Gyu Lim,Mike Perry,Welterweight
0,Tim Means,Sabah Homasi,Tim Means,Welterweight
0,Cody Garbrandt,Takeya Mizugaki,Cody Garbrandt,Bantamweight
0,Raquel Pennington,Elizabeth Phillips,Raquel Pennington,Women's Bantamweight
0,Artem Lobov,Chris Avila,Artem Lobov,Featherweight
0,Cortney Casey,Randa Markos,Cortney Casey,Women's Strawweight
0,Lorenz Larkin,Neil Magny,Lorenz Larkin,Welterweight
0,Colby Covington,Max Griffin,Colby Covington,Welterweight
0,Marvin Vettori,Alberto Uda,Marvin Vettori,Middleweight
0,Yair Rodriguez,Alex Caceres,Yair Rodriguez,Featherweight
0,Dennis Bermudez,Rony Jason,Dennis Bermudez,Featherweight
0,Thales Leites,Chris Camozzi,Thales Leites,Middleweight
0,Santiago Ponzinibbio,Zak Cummings,Santiago Ponzinibbio,Welterweight
0,Trevor Smith,Joe Gigliotti,Trevor Smith,Middleweight
0,Maryna Moroz,Danielle Taylor,Maryna Moroz,Women's Strawweight
0,Court McGee,Dominique Steele,Court McGee,Welterweight
0,Marcin Tybura,Viktor Pesta,Marcin Tybura,Heavyweight
0,David Teymur,Jason Novelli,David Teymur,Lightweight
0,Teruto Ishihara,Horacio Gutierrez,Teruto Ishihara,Featherweight
0,Cub Swanson,Tatsuya Kawajiri,Cub Swanson,Featherweight
0,Justin Ledet,Chase Sherman,Justin Ledet,Heavyweight
0,Tyron Woodley,Robbie Lawler,Tyron Woodley,Welterweight
0,Karolina Kowalkiewicz,Rose Namajunas,Karolina Kowalkiewicz,Women's Strawweight
0,Jake Ellenberger,Matt Brown,Jake Ellenberger,Welterweight
0,Erik Perez,Francisco Rivera,Erik Perez,Bantamweight
0,Ryan Benoit,Fredy Serrano,Ryan Benoit,Flyweight
0,Nikita Krylov,Ed Herman,Nikita Krylov,Light Heavyweight
0,Jorge Masvidal,Ross Pearson,Jorge Masvidal,Welterweight
0,Anthony Hamilton,Damian Grabowski,Anthony Hamilton,Heavyweight
0,Wilson Reis,Hector Sandoval,Wilson Reis,Flyweight
0,draw,Michael Graves,draw,1
0,Damien Brown,Cesar Arzamendia,Damien Brown,Lightweight
0,Valentina Shevchenko,Holly Holm,Valentina Shevchenko,Women's Bantamweight
0,Edson Barboza,Gilbert Melendez,Edson Barboza,Lightweight
0,Francis Ngannou,Bojan Mihajlovic,Francis Ngannou,Heavyweight
0,Felice Herrig,Kailin Curran,Felice Herrig,Women's Strawweight
0,Eddie Wineland,Frankie Saenz,Eddie Wineland,Bantamweight
0,Darren Elkins,Godofredo Pepey,Darren Elkins,Featherweight
0,Kamaru Usman,Alexander Yakovlev,Kamaru Usman,Welterweight
0,Michel Prazeres,JC Cottrell,Michel Prazeres,Lightweight
0,Alex Oliveira,James Moontasri,Alex Oliveira,Welterweight
0,Jason Knight,Jim Alers,Jason Knight,Featherweight
0,Luis Henrique,Dmitrii Smoliakov,Luis Henrique,Heavyweight
0,John Lineker,Michael McDonald,John Lineker,Bantamweight
0,Tony Ferguson,Lando Vannata,Tony Ferguson,Lightweight
0,Tim Boetsch,Josh Samman,Tim Boetsch,Middleweight
0,Daniel Omielanczuk,Aleksei Oleinik,Daniel Omielanczuk,Heavyweight
0,Keita Nakamura,Kyle Noke,Keita Nakamura,Welterweight
0,Louis Smolka,Ben Nguyen,Louis Smolka,Flyweight
0,Katlyn Chookagian,Lauren Murphy,Katlyn Chookagian,Women's Bantamweight
0,Sam Alvey,Eric Spicely,Sam Alvey,Middleweight
0,Cortney Casey,Cristina Stanciu,Cortney Casey,Women's Strawweight
0,Scott Holtzman,Cody Pfister,Scott Holtzman,Lightweight
0,Rani Yahya,Matthew Lopez,Rani Yahya,Bantamweight
0,Alex Nicholson,Devin Clark,Alex Nicholson,Middleweight
0,Amanda Nunes,Miesha Tate,Amanda Nunes,Women's Bantamweight
0,nc,Brock Lesnar,nc,0
0,Daniel Cormier,Anderson Silva,Daniel Cormier,Light Heavyweight
0,Jose Aldo,Frankie Edgar,Jose Aldo,Featherweight
0,Cain Velasquez,Travis Browne,Cain Velasquez,Heavyweight
0,Julianna Pena,Cat Zingano,Julianna Pena,Women's Bantamweight
0,Kelvin Gastelum,Johny Hendricks,Kelvin Gastelum,Welterweight
0,TJ Dillashaw,Raphael Assuncao,TJ Dillashaw,Bantamweight
0,Sage Northcutt,Enrique Marin,Sage Northcutt,Lightweight
0,Joe Lauzon,Diego Sanchez,Joe Lauzon,Lightweight
0,Gegard Mousasi,Thiago Santos,Gegard Mousasi,Middleweight
0,Jim Miller,Takanori Gomi,Jim Miller,Lightweight
0,Joanna Jedrzejczyk,Claudia Gadelha,Joanna Jedrzejczyk,Women's Strawweight
0,Andrew Sanchez,Khalil Rountree Jr.,Andrew Sanchez,Light Heavyweight
0,Tatiana Suarez,Amanda Cooper,Tatiana Suarez,Women's Strawweight
0,Will Brooks,Ross Pearson,Will Brooks,Lightweight
0,Dooho Choi,Thiago Tavares,Dooho Choi,Featherweight
0,Joaquim Silva,Andrew Holbrook,Joaquim Silva,Lightweight
0,Gray Maynard,Fernando Bruno,Gray Maynard,Featherweight
0,Matheus Nicolau,John Moraga,Matheus Nicolau,Flyweight
0,Josh Stansbury,Cory Hendricks,Josh Stansbury,Light Heavyweight
0,Cezar Ferreira,Anthony Smith,Cezar Ferreira,Middleweight
0,Kevin Lee,Jake Matthews,Kevin Lee,Lightweight
0,Li Jingliang,Anton Zafir,Li Jingliang,Welterweight
0,Eddie Alvarez,Rafael Dos Anjos,Eddie Alvarez,Lightweight
0,Derrick Lewis,Roy Nelson,Derrick Lewis,Heavyweight
0,Alan Jouban,Belal Muhammad,Alan Jouban,Welterweight
0,Joe Duffy,Mitch Clarke,Joe Duffy,Lightweight
0,Alberto Mina,Mike Pyle,Alberto Mina,Welterweight
0,John Makdessi,Mehdi Baghdad,John Makdessi,Lightweight
0,Anthony Birchak,Dileno Lopes,Anthony Birchak,Bantamweight
0,Pedro Munhoz,Russell Doane,Pedro Munhoz,Bantamweight
0,Felipe Arantes,Jerrod Sanders,Felipe Arantes,Bantamweight
0,Gilbert Burns,Lukasz Sajewski,Gilbert Burns,Lightweight
0,Marco Beltran,Reginaldo Vieira,Marco Beltran,Bantamweight
0,Vicente Luque,Alvaro Herrera,Vicente Luque,Welterweight
0,Stephen Thompson,Rory MacDonald,Stephen Thompson,Welterweight
0,Donald Cerrone,Patrick Cote,Donald Cerrone,Welterweight
0,Steve Bosse,Sean O'Connell,Steve Bosse,Light Heavyweight
0,Olivier Aubin-Mercier,Thibault Gouti,Olivier Aubin-Mercier,Lightweight
0,Joanne Calderwood,Valerie Letourneau,Joanne Calderwood,Women's Flyweight
0,Jason Saggo,Leandro Silva,Jason Saggo,Lightweight
0,Misha Cirkunov,Ion Cutelaba,Misha Cirkunov,Light Heavyweight
0,Krzysztof Jotko,Tamdan McCrory,Krzysztof Jotko,Middleweight
0,Joe Soto,Chris Beal,Joe Soto,Bantamweight
0,Elias Theodorou,Sam Alvey,Elias Theodorou,Middleweight
0,Randa Markos,Jocelyn Jones-Lybarger,Randa Markos,Women's Strawweight
0,Colby Covington,Jonathan Meunier,Colby Covington,Welterweight
0,Ali Bagautinov,Geane Herrera,Ali Bagautinov,Flyweight
0,Michael Bisping,Luke Rockhold,Michael Bisping,Middleweight
0,Dominick Cruz,Urijah Faber,Dominick Cruz,Bantamweight
0,Max Holloway,Ricardo Lamas,Max Holloway,Featherweight
0,Dan Henderson,Hector Lombard,Dan Henderson,Middleweight
0,Dustin Poirier,Bobby Green,Dustin Poirier,Lightweight
0,Brian Ortega,Clay Guida,Brian Ortega,Featherweight
0,Beneil Dariush,James Vick,Beneil Dariush,Lightweight
0,Jessica Andrade,Jessica Penne,Jessica Andrade,Women's Strawweight
0,Alex Caceres,Cole Miller,Alex Caceres,Featherweight
0,Sean Strickland,Tom Breese,Sean Strickland,Welterweight
0,Henrique da Silva,Jonathan Wilson,Henrique da Silva,Light Heavyweight
0,draw,Kevin Casey,draw,1
0,Polo Reyes,Dong Hyun Kim,Polo Reyes,Lightweight
0,Cody Garbrandt,Thomas Almeida,Cody Garbrandt,Bantamweight
0,Jeremy Stephens,Renan Barao,Jeremy Stephens,Featherweight
0,Rick Story,Tarec Saffiedine,Rick Story,Welterweight
0,Chris Camozzi,Vitor Miranda,Chris Camozzi,Middleweight
0,Lorenz Larkin,Jorge Masvidal,Lorenz Larkin,Welterweight
0,Paul Felder,Joshua Burkman,Paul Felder,Lightweight
0,Sara McMann,Jessica Eye,Sara McMann,Women's Bantamweight
0,Abel Trujillo,Jordan Rinaldi,Abel Trujillo,Lightweight
0,Jake Collier,Alberto Uda,Jake Collier,Middleweight
0,Erik Koch,Shane Campbell,Erik Koch,Lightweight
0,Bryan Caraway,Aljamain Sterling,Bryan Caraway,Bantamweight
0,Adam Milstead,Chris de la Rocha,Adam Milstead,Heavyweight
0,Stipe Miocic,Fabricio Werdum,Stipe Miocic,Heavyweight
0,Jacare Souza,Vitor Belfort,Jacare Souza,Middleweight
0,Cris Cyborg,Leslie Smith,Cris Cyborg,Catch Weight
0,Mauricio Rua,Corey Anderson,Mauricio Rua,Light Heavyweight
0,Bryan Barberena,Warlley Alves,Bryan Barberena,Welterweight
0,Demian Maia,Matt Brown,Demian Maia,Welterweight
0,Thiago Santos,Nate Marquardt,Thiago Santos,Middleweight
0,Francisco Trinaldo,Yancy Medeiros,Francisco Trinaldo,Lightweight
0,John Lineker,Rob Font,John Lineker,Bantamweight
0,Rogerio Nogueira,Patrick Cummins,Rogerio Nogueira,Light Heavyweight
0,draw,Sergio Moraes,draw,1
0,Renato Moicano,Zubaira Tukhugov,Renato Moicano,Featherweight
0,Alistair Overeem,Andrei Arlovski,Alistair Overeem,Heavyweight
0,Stefan Struve,Antonio Silva,Stefan Struve,Heavyweight
0,Gunnar Nelson,Albert Tumenov,Gunnar Nelson,Welterweight
0,Germaine de Randamie,Anna Elmose,Germaine de Randamie,Women's Bantamweight
0,Nikita Krylov,Francimar Barroso,Nikita Krylov,Light Heavyweight
0,Karolina Kowalkiewicz,Heather Jo Clark,Karolina Kowalkiewicz,Women's Strawweight
0,Rustam Khabilov,Chris Wade,Rustam Khabilov,Lightweight
0,Magnus Cedenblad,Garreth McLellan,Magnus Cedenblad,Middleweight
0,Josh Emmett,Jon Tuck,Josh Emmett,Lightweight
0,Reza Madadi,Yan Cabral,Reza Madadi,Lightweight
0,Kyoji Horiguchi,Neil Seery,Kyoji Horiguchi,Flyweight
0,Leon Edwards,Dominic Waters,Leon Edwards,Welterweight
0,Ulka Sasaki,Willie Gates,Ulka Sasaki,Flyweight
0,Jon Jones,Ovince Saint Preux,Jon Jones,Light Heavyweight
0,Demetrious Johnson,Henry Cejudo,Demetrious Johnson,Flyweight
0,Edson Barboza,Anthony Pettis,Edson Barboza,Lightweight
0,Robert Whittaker,Rafael Natal,Robert Whittaker,Middleweight
0,Yair Rodriguez,Andre Fili,Yair Rodriguez,Featherweight
0,Sergio Pettis,Chris Kelades,Sergio Pettis,Flyweight
0,Danny Roberts,Dominique Steele,Danny Roberts,Welterweight
0,Carla Esparza,Juliana Lima,Carla Esparza,Women's Strawweight
0,James Vick,Glaico Franca,James Vick,Lightweight
0,Walt Harris,Cody East,Walt Harris,Heavyweight
0,Marcos Rogerio de Lima,Clint Hester,Marcos Rogerio de Lima,Light Heavyweight
0,Kevin Lee,Efrain Escudero,Kevin Lee,Lightweight
0,Glover Teixeira,Rashad Evans,Glover Teixeira,Light Heavyweight
0,Rose Namajunas,Tecia Torres,Rose Namajunas,Women's Strawweight
0,Khabib Nurmagomedov,Darrell Horcher,Khabib Nurmagomedov,Catch Weight
0,Cub Swanson,Hacran Dias,Cub Swanson,Featherweight
0,Michael Chiesa,Beneil Dariush,Michael Chiesa,Lightweight
0,Raquel Pennington,Bethe Correia,Raquel Pennington,Women's Bantamweight
0,Santiago Ponzinibbio,Court McGee,Santiago Ponzinibbio,Welterweight
0,Michael Graves,Randy Brown,Michael Graves,Welterweight
0,John Dodson,Manvel Gamburyan,John Dodson,Bantamweight
0,Cezar Ferreira,Oluwale Bamgbose,Cezar Ferreira,Middleweight
0,Elizeu Zaleski dos Santos,Omari Akhmedov,Elizeu Zaleski dos Santos,Welterweight
0,Junior Dos Santos,Ben Rothwell,Junior Dos Santos,Heavyweight
0,Derrick Lewis,Gabriel Gonzaga,Derrick Lewis,Heavyweight
0,Francis Ngannou,Curtis Blaydes,Francis Ngannou,Heavyweight
0,Tim Johnson,Marcin Tybura,Tim Johnson,Heavyweight
0,Jan Blachowicz,Igor Pokrajac,Jan Blachowicz,Light Heavyweight
0,Maryna Moroz,Cristina Stanciu,Maryna Moroz,Women's Strawweight
0,Zak Cummings,Nicolas Dalby,Zak Cummings,Welterweight
0,Alejandro Perez,Ian Entwistle,Alejandro Perez,Bantamweight
0,Mairbek Taisumov,Damir Hadzovic,Mairbek Taisumov,Lightweight
0,Damian Stasiak,Filip Pejic,Damian Stasiak,Bantamweight
0,Lucas Martins,Rob Whiteford,Lucas Martins,Featherweight
0,Jared Cannonier,Cyril Asker,Jared Cannonier,Heavyweight
0,Bojan Velickovic,Alessio Di Chirico,Bojan Velickovic,Middleweight
0,Mark Hunt,Frank Mir,Mark Hunt,Heavyweight
0,Neil Magny,Hector Lombard,Neil Magny,Welterweight
0,Jake Matthews,Johnny Case,Jake Matthews,Lightweight
0,Daniel Kelly,Antonio Carlos Junior,Daniel Kelly,Middleweight
0,Steve Bosse,James Te Huna,Steve Bosse,Light Heavyweight
0,Bec Rawlings,Seohee Ham,Bec Rawlings,Women's Strawweight
0,Alan Jouban,Brendan O'Reilly,Alan Jouban,Welterweight
0,Dan Hooker,Mark Eddiva,Dan Hooker,Featherweight
0,Leslie Smith,Rin Nakai,Leslie Smith,Women's Bantamweight
0,Viscardi Andrade,Richard Walsh,Viscardi Andrade,Welterweight
0,Ross Pearson,Chad Laprise,Ross Pearson,Lightweight
0,Alan Patrick,Damien Brown,Alan Patrick,Lightweight
0,Nate Diaz,Conor McGregor,Nate Diaz,Welterweight
0,Miesha Tate,Holly Holm,Miesha Tate,Women's Bantamweight
0,Ilir Latifi,Gian Villante,Ilir Latifi,Light Heavyweight
0,Corey Anderson,Tom Lawlor,Corey Anderson,Light Heavyweight
0,Amanda Nunes,Valentina Shevchenko,Amanda Nunes,Women's Bantamweight
0,Siyar Bahadurzada,Brandon Thatch,Siyar Bahadurzada,Welterweight
0,Nordine Taleb,Erick Silva,Nordine Taleb,Welterweight
0,Vitor Miranda,Marcelo Guimaraes,Vitor Miranda,Middleweight
0,Darren Elkins,Chas Skelly,Darren Elkins,Featherweight
0,Diego Sanchez,Jim Miller,Diego Sanchez,Lightweight
0,Jason Saggo,Justin Salas,Jason Saggo,Lightweight
0,Teruto Ishihara,Julian Erosa,Teruto Ishihara,Featherweight
0,Michael Bisping,Anderson Silva,Michael Bisping,Middleweight
0,Gegard Mousasi,Thales Leites,Gegard Mousasi,Middleweight
0,Tom Breese,Keita Nakamura,Tom Breese,Welterweight
0,Brad Pickett,Francisco Rivera,Brad Pickett,Bantamweight
0,Makwan Amirkhani,Mike Wilkinson,Makwan Amirkhani,Featherweight
0,Davey Grant,Marlon Vera,Davey Grant,Bantamweight
0,Scott Askham,Chris Dempsey,Scott Askham,Middleweight
0,Arnold Allen,Yaotzin Meza,Arnold Allen,Featherweight
0,Krzysztof Jotko,Bradley Scott,Krzysztof Jotko,Middleweight
0,Rustam Khabilov,Norman Parke,Rustam Khabilov,Lightweight
0,Daniel Omielanczuk,Jarjis Danho,Daniel Omielanczuk,Heavyweight
0,Teemu Packalen,Thibault Gouti,Teemu Packalen,Lightweight
0,David Teymur,Martin Svensson,David Teymur,Lightweight
0,Donald Cerrone,Alex Oliveira,Donald Cerrone,Welterweight
0,Derek Brunson,Roan Carneiro,Derek Brunson,Middleweight
0,Cody Garbrandt,Augusto Mendes,Cody Garbrandt,Catch Weight
0,Dennis Bermudez,Tatsuya Kawajiri,Dennis Bermudez,Featherweight
0,Chris Camozzi,Joe Riggs,Chris Camozzi,Middleweight
0,James Krause,Shane Campbell,James Krause,Lightweight
0,Sean Strickland,Alex Garcia,Sean Strickland,Welterweight
0,Oluwale Bamgbose,Daniel Sarafian,Oluwale Bamgbose,Middleweight
0,Anthony Smith,Leonardo Augusto Leleco,Anthony Smith,Middleweight
0,Nathan Coy,Jonavin Webb,Nathan Coy,Welterweight
0,Ashlee Evans-Smith,Marion Reneau,Ashlee Evans-Smith,Women's Bantamweight
0,Lauren Murphy,Kelly Faszholz,Lauren Murphy,Women's Bantamweight
0,Shamil Abdurakhimov,Anthony Hamilton,Shamil Abdurakhimov,Heavyweight
0,Stephen Thompson,Johny Hendricks,Stephen Thompson,Welterweight
0,Roy Nelson,Jared Rosholt,Roy Nelson,Heavyweight
0,Ovince Saint Preux,Rafael Feijao,Ovince Saint Preux,Light Heavyweight
0,Joseph Benavidez,Zach Makovsky,Joseph Benavidez,Flyweight
0,Misha Cirkunov,Alex Nicholson,Misha Cirkunov,Light Heavyweight
0,Mike Pyle,Sean Spencer,Mike Pyle,Welterweight
0,Joshua Burkman,KJ Noons,Joshua Burkman,Lightweight
0,Derrick Lewis,Damian Grabowski,Derrick Lewis,Heavyweight
0,Justin Scoggins,Ray Borg,Justin Scoggins,Flyweight
0,Diego Rivas,Noad Lahat,Diego Rivas,Featherweight
0,Mickey Gall,Mike Jackson,Mickey Gall,Welterweight
0,Alex White,Artem Lobov,Alex White,Featherweight
0,Anthony Johnson,Ryan Bader,Anthony Johnson,Light Heavyweight
0,Ben Rothwell,Josh Barnett,Ben Rothwell,Heavyweight
0,Jimmie Rivera,Iuri Alcantara,Jimmie Rivera,Bantamweight
0,Bryan Barberena,Sage Northcutt,Bryan Barberena,Welterweight
0,Tarec Saffiedine,Jake Ellenberger,Tarec Saffiedine,Welterweight
0,Diego Ferreira,Olivier Aubin-Mercier,Diego Ferreira,Lightweight
0,Rafael Natal,Kevin Casey,Rafael Natal,Middleweight
0,Wilson Reis,Dustin Ortiz,Wilson Reis,Flyweight
0,Alexander Yakovlev,George Sullivan,Alexander Yakovlev,Welterweight
0,Alex Caceres,Masio Fullen,Alex Caceres,Featherweight
0,Randy Brown,Matt Dwyer,Randy Brown,Welterweight
0,draw,Damon Jackson,draw,1
0,Tony Martin,Felipe Olivieri,Tony Martin,Lightweight
0,Dominick Cruz,TJ Dillashaw,Dominick Cruz,Bantamweight
0,Eddie Alvarez,Anthony Pettis,Eddie Alvarez,Lightweight
0,Travis Browne,Matt Mitrione,Travis Browne,Heavyweight
0,Francisco Trinaldo,Ross Pearson,Francisco Trinaldo,Lightweight
0,Patrick Cote,Ben Saunders,Patrick Cote,Welterweight
0,Ed Herman,Tim Boetsch,Ed Herman,Light Heavyweight
0,Chris Wade,Mehdi Baghdad,Chris Wade,Lightweight
0,Luke Sanders,Maximo Blanco,Luke Sanders,Featherweight
0,Paul Felder,Daron Cruickshank,Paul Felder,Lightweight
0,Ilir Latifi,Sean O'Connell,Ilir Latifi,Light Heavyweight
0,Charles Rosa,Kyle Bochniak,Charles Rosa,Featherweight
0,Rob Font,Joey Gomez,Rob Font,Bantamweight
0,Francimar Barroso,Elvis Mutapcic,Francimar Barroso,Light Heavyweight
0,Robbie Lawler,Carlos Condit,Robbie Lawler,Welterweight
0,Stipe Miocic,Andrei Arlovski,Stipe Miocic,Heavyweight
0,Albert Tumenov,Lorenz Larkin,Albert Tumenov,Welterweight
0,Brian Ortega,Diego Brandao,Brian Ortega,Featherweight
0,Abel Trujillo,Tony Sims,Abel Trujillo,Lightweight
0,Michael McDonald,Masanori Kanehara,Michael McDonald,Bantamweight
0,Alex Morono,Kyle Noke,Alex Morono,Welterweight
0,Justine Kish,Nina Ansaroff,Justine Kish,Women's Strawweight
0,Drew Dober,Scott Holtzman,Drew Dober,Lightweight
0,Dustin Poirier,Joe Duffy,Dustin Poirier,Lightweight
0,Michinori Tanaka,Joe Soto,Michinori Tanaka,Bantamweight
0,Sheldon Westcott,Edgar Garcia,Sheldon Westcott,Welterweight
0,Rafael Dos Anjos,Donald Cerrone,Rafael Dos Anjos,Lightweight
0,Alistair Overeem,Junior Dos Santos,Alistair Overeem,Heavyweight
0,Nate Diaz,Michael Johnson,Nate Diaz,Lightweight
0,Karolina Kowalkiewicz,Randa Markos,Karolina Kowalkiewicz,Women's Strawweight
0,Charles Oliveira,Myles Jury,Charles Oliveira,Featherweight
0,Nate Marquardt,CB Dollaway,Nate Marquardt,Middleweight
0,Valentina Shevchenko,Sarah Kaufman,Valentina Shevchenko,Women's Bantamweight
0,Tamdan McCrory,Josh Samman,Tamdan McCrory,Middleweight
0,Nik Lentz,Danny Castillo,Nik Lentz,Lightweight
0,nc,Cole Miller,nc,0
0,Kamaru Usman,Leon Edwards,Kamaru Usman,Welterweight
0,Vicente Luque,Hayder Hassan,Vicente Luque,Welterweight
0,Francis Ngannou,Luis Henrique,Francis Ngannou,Heavyweight
0,Conor McGregor,Jose Aldo,Conor McGregor,Featherweight
0,Luke Rockhold,Chris Weidman,Luke Rockhold,Middleweight
0,Yoel Romero,Jacare Souza,Yoel Romero,Middleweight
0,Demian Maia,Gunnar Nelson,Demian Maia,Welterweight
0,Max Holloway,Jeremy Stephens,Max Holloway,Featherweight
0,Urijah Faber,Frankie Saenz,Urijah Faber,Bantamweight
0,Tecia Torres,Jocelyn Jones-Lybarger,Tecia Torres,Women's Strawweight
0,Warlley Alves,Colby Covington,Warlley Alves,Welterweight
0,Leonardo Santos,Kevin Lee,Leonardo Santos,Lightweight
0,Magomed Mustafaev,Joe Proctor,Magomed Mustafaev,Lightweight
0,Yancy Medeiros,John Makdessi,Yancy Medeiros,Lightweight
0,Court McGee,Marcio Alexandre Junior,Court McGee,Welterweight
0,Frankie Edgar,Chad Mendes,Frankie Edgar,Featherweight
0,Ryan Hall,Artem Lobov,Ryan Hall,Lightweight
0,Tony Ferguson,Edson Barboza,Tony Ferguson,Lightweight
0,Evan Dunham,Joe Lauzon,Evan Dunham,Lightweight
0,Tatsuya Kawajiri,Jason Knight,Tatsuya Kawajiri,Featherweight
0,Julian Erosa,Marcin Wrzosek,Julian Erosa,Lightweight
0,Gabriel Gonzaga,Konstantin Erokhin,Gabriel Gonzaga,Heavyweight
0,Ryan LaFlare,Mike Pierce,Ryan LaFlare,Welterweight
0,Geane Herrera,Joby Sanchez,Geane Herrera,Flyweight
0,Chris Gruetzemacher,Abner Lloveras,Chris Gruetzemacher,Lightweight
0,Rose Namajunas,Paige VanZant,Rose Namajunas,Women's Strawweight
0,Michael Chiesa,Jim Miller,Michael Chiesa,Lightweight
0,Sage Northcutt,Cody Pfister,Sage Northcutt,Lightweight
0,Thiago Santos,Elias Theodorou,Thiago Santos,Middleweight
0,Tim Means,John Howard,Tim Means,Welterweight
0,Sergio Moraes,Omari Akhmedov,Sergio Moraes,Welterweight
0,nc,Antonio Carlos Junior,nc,0
0,Aljamain Sterling,Johnny Eduardo,Aljamain Sterling,Bantamweight
0,Santiago Ponzinibbio,Andreas Stahl,Santiago Ponzinibbio,Welterweight
0,Danny Roberts,Nathan Coy,Danny Roberts,Welterweight
0,Zubaira Tukhugov,Phillipe Nover,Zubaira Tukhugov,Featherweight
0,Kailin Curran,Emily Peters Kagan,Kailin Curran,Women's Strawweight
0,Benson Henderson,Jorge Masvidal,Benson Henderson,Welterweight
0,Dong Hyun Kim,Dominic Waters,Dong Hyun Kim,Welterweight
0,Alberto Mina,Yoshihiro Akiyama,Alberto Mina,Welterweight
0,Dooho Choi,Sam Sicilia,Dooho Choi,Featherweight
0,Dongi Yang,Jake Collier,Dongi Yang,Middleweight
0,Mike de la Torre,Yui Chul Nam,Mike de la Torre,Featherweight
0,Tae Hyun Bang,Leo Kuntz,Tae Hyun Bang,Lightweight
0,Seohee Ham,Cortney Casey,Seohee Ham,Women's Strawweight
0,Fredy Serrano,Yao Zhikui,Fredy Serrano,Flyweight
0,Marco Beltran,Ning Guangyou,Marco Beltran,Bantamweight
