,Fighter1,Fighter2,Winner,WeightClass
0,Makwan Amirkhani,Jason Knight,Makwan Amirkhani,Featherweight
0,Claudio Silva,Nordine Taleb,Claudio Silva,Welterweight
0,Darren Stewart,Eric Spicely,Darren Stewart,Middleweight
0,Tom Breese,Daniel Kelly,Tom Breese,Middleweight
0,Lina Lansberg,Gina Mazany,Lina Lansberg,Women's Bantamweight
0,Carlo Pedersoli,Bradley Scott,Carlo Pedersoli,Welterweight
0,Gillian Robertson,Molly McCann,Gillian Robertson,Women's Flyweight
0,Elias Theodorou,Trevor Smith,Elias Theodorou,Middleweight
0,Kamaru Usman,Demian Maia,Kamaru Usman,Welterweight
0,Tatiana Suarez,Alexa Grasso,Tatiana Suarez,Women's Strawweight
0,Dominick Reyes,Jared Cannonier,Dominick Reyes,Light Heavyweight
0,Guido Cannetti,Diego Rivas,Guido Cannetti,Bantamweight
0,Andrea Lee,Veronica Macedo,Andrea Lee,Women's Flyweight
0,Vicente Luque,Chad Laprise,Vicente Luque,Welterweight
0,Michel Prazeres,Zak Cummings,Michel Prazeres,Welterweight
0,Alexandre Pantoja,Brandon Moreno,Alexandre Pantoja,Flyweight
0,Poliana Botelho,Syuri Kondo,Poliana Botelho,Women's Strawweight
0,Gabriel Benitez,Humberto Bandenay,Gabriel Benitez,Featherweight
0,Enrique Barzola,Brandon Davis,Enrique Barzola,Featherweight
0,Frankie Saenz,Henry Briones,Frankie Saenz,Bantamweight
0,Claudio Puelles,Felipe Silva,Claudio Puelles,Lightweight
0,Amanda Nunes,Raquel Pennington,Amanda Nunes,Women's Bantamweight
0,Kelvin Gastelum,Jacare Souza,Kelvin Gastelum,Middleweight
0,Mackenzie Dern,Amanda Cooper,Mackenzie Dern,Women's Strawweight
0,John Lineker,Brian Kelleher,John Lineker,Bantamweight
0,Lyoto Machida,Vitor Belfort,Lyoto Machida,Middleweight
0,Cezar Ferreira,Karl Roberson,Cezar Ferreira,Middleweight
0,Aleksei Oleinik,Junior Albini,Aleksei Oleinik,Heavyweight
0,Davi Ramos,Nick Hein,Davi Ramos,Lightweight
0,Elizeu Zaleski dos Santos,Sean Strickland,Elizeu Zaleski dos Santos,Welterweight
0,Warlley Alves,Sultan Aliev,Warlley Alves,Welterweight
0,Jack Hermansson,Thales Leites,Jack Hermansson,Middleweight
0,Ramazan Emeev,Alberto Mina,Ramazan Emeev,Welterweight
0,Markus Perez,James Bochnovic,Markus Perez,Middleweight
0,Kevin Lee,Edson Barboza,Kevin Lee,Lightweight
0,Frankie Edgar,Cub Swanson,Frankie Edgar,Featherweight
0,Justin Willis,Chase Sherman,Justin Willis,Heavyweight
0,David Branch,Thiago Santos,David Branch,Middleweight
0,Aljamain Sterling,Brett Johns,Aljamain Sterling,Bantamweight
0,Dan Hooker,Jim Miller,Dan Hooker,Lightweight
0,Ryan LaFlare,Alex Garcia,Ryan LaFlare,Welterweight
0,Ricky Simon,Merab Dvalishvili,Ricky Simon,Bantamweight
0,Siyar Bahadurzada,Luan Chagas,Siyar Bahadurzada,Welterweight
0,Corey Anderson,Patrick Cummins,Corey Anderson,Light Heavyweight
0,Tony Martin,Keita Nakamura,Tony Martin,Welterweight
0,Dustin Poirier,Justin Gaethje,Dustin Poirier,Lightweight
0,Alex Oliveira,Carlos Condit,Alex Oliveira,Welterweight
0,Israel Adesanya,Marvin Vettori,Israel Adesanya,Middleweight
0,Michelle Waterson,Cortney Casey,Michelle Waterson,Women's Strawweight
0,Antonio Carlos Junior,Tim Boetsch,Antonio Carlos Junior,Middleweight
0,Muslim Salikhov,Ricky Rainey,Muslim Salikhov,Welterweight
0,John Moraga,Wilson Reis,John Moraga,Flyweight
0,Brad Tavares,Krzysztof Jotko,Brad Tavares,Middleweight
0,Gilbert Burns,Dan Moret,Gilbert Burns,Lightweight
0,Lauren Mueller,Shana Dobson,Lauren Mueller,Women's Flyweight
0,Yushin Okami,Dhiego Lima,Yushin Okami,Welterweight
0,Adam Wieczorek,Arjan Bhullar,Adam Wieczorek,Heavyweight
0,Alejandro Perez,Matthew Lopez,Alejandro Perez,Bantamweight
0,Luke Sanders,Patrick Williams,Luke Sanders,Bantamweight
0,Khabib Nurmagomedov,Al Iaquinta,Khabib Nurmagomedov,Lightweight
0,Rose Namajunas,Joanna Jedrzejczyk,Rose Namajunas,Women's Strawweight
0,Renato Moicano,Calvin Kattar,Renato Moicano,Featherweight
0,Zabit Magomedsharipov,Kyle Bochniak,Zabit Magomedsharipov,Featherweight
0,Chris Gruetzemacher,Joe Lauzon,Chris Gruetzemacher,Lightweight
0,Karolina Kowalkiewicz,Felice Herrig,Karolina Kowalkiewicz,Women's Strawweight
0,Olivier Aubin-Mercier,Evan Dunham,Olivier Aubin-Mercier,Lightweight
0,Ashlee Evans-Smith,Bec Rawlings,Ashlee Evans-Smith,Women's Flyweight
0,Devin Clark,Mike Rodriguez,Devin Clark,Light Heavyweight
0,Alexander Volkov,Fabricio Werdum,Alexander Volkov,Heavyweight
0,Jan Blachowicz,Jimi Manuwa,Jan Blachowicz,Light Heavyweight
0,Tom Duquesnoy,Terrion Ware,Tom Duquesnoy,Bantamweight
0,Leon Edwards,Peter Sobotta,Leon Edwards,Welterweight
0,Charles Byrd,John Phillips,Charles Byrd,Middleweight
0,Danny Roberts,Oliver Enkamp,Danny Roberts,Welterweight
0,Danny Henry,Hakeem Dawodu,Danny Henry,Featherweight
0,Paul Craig,Magomed Ankalaev,Paul Craig,Light Heavyweight
0,Kajan Johnson,Stevie Ray,Kajan Johnson,Lightweight
0,Dmitry Sosnovskiy,Mark Godbeer,Dmitry Sosnovskiy,Heavyweight
0,Cris Cyborg,Yana Kunitskaya,Cris Cyborg,Women's Featherweight
0,Brian Ortega,Frankie Edgar,Brian Ortega,Featherweight
0,Sean O'Malley,Andre Soukhamthath,Sean O'Malley,Bantamweight
0,Andrei Arlovski,Stefan Struve,Andrei Arlovski,Heavyweight
0,Ketlen Vieira,Cat Zingano,Ketlen Vieira,Women's Bantamweight
0,Mackenzie Dern,Ashley Yoder,Mackenzie Dern,Women's Strawweight
0,Alexander Hernandez,Beneil Dariush,Alexander Hernandez,Lightweight
0,John Dodson,Pedro Munhoz,John Dodson,Bantamweight
0,CB Dollaway,Hector Lombard,CB Dollaway,Middleweight
0,Zak Ottow,Mike Pyle,Zak Ottow,Welterweight
0,Cody Stamann,Bryan Caraway,Cody Stamann,Bantamweight
0,Jordan Johnson,Adam Milstead,Jordan Johnson,Light Heavyweight
0,Jeremy Stephens,Josh Emmett,Jeremy Stephens,Featherweight
0,Jessica Andrade,Tecia Torres,Jessica Andrade,Women's Strawweight
0,Ilir Latifi,Ovince Saint Preux,Ilir Latifi,Light Heavyweight
0,Max Griffin,Mike Perry,Max Griffin,Welterweight
0,Brian Kelleher,Renan Barao,Brian Kelleher,Bantamweight
0,Marion Reneau,Sara McMann,Marion Reneau,Women's Bantamweight
0,Angela Hill,Maryna Moroz,Angela Hill,Women's Strawweight
0,Alan Jouban,Ben Saunders,Alan Jouban,Welterweight
0,Sam Alvey,Marcin Prachnio,Sam Alvey,Light Heavyweight
0,Rani Yahya,Russell Doane,Rani Yahya,Bantamweight
0,Alex Perez,Eric Shelton,Alex Perez,Flyweight
0,Manny Bermudez,Albert Morales,Manny Bermudez,Bantamweight
0,Donald Cerrone,Yancy Medeiros,Donald Cerrone,Welterweight
0,Derrick Lewis,Marcin Tybura,Derrick Lewis,Heavyweight
0,James Vick,Francisco Trinaldo,James Vick,Lightweight
0,Curtis Millender,Thiago Alves,Curtis Millender,Welterweight
0,Brandon Davis,Steven Peterson,Brandon Davis,Featherweight
0,Sage Northcutt,Thibault Gouti,Sage Northcutt,Lightweight
0,Diego Ferreira,Jared Gordon,Diego Ferreira,Lightweight
0,Geoff Neal,Brian Camozzi,Geoff Neal,Welterweight
0,Roberto Sanchez,Joby Sanchez,Roberto Sanchez,Flyweight
0,Lucie Pudilova,Sarah Moras,Lucie Pudilova,Women's Bantamweight
0,Alex Morono,Joshua Burkman,Alex Morono,Welterweight
0,Oskar Piechota,Tim Williams,Oskar Piechota,Middleweight
0,Yoel Romero,Luke Rockhold,Yoel Romero,Middleweight
0,Curtis Blaydes,Mark Hunt,Curtis Blaydes,Heavyweight
0,Tai Tuivasa,Cyril Asker,Tai Tuivasa,Heavyweight
0,Jake Matthews,Li Jingliang,Jake Matthews,Welterweight
0,Tyson Pedro,Saparbeg Safarov,Tyson Pedro,Light Heavyweight
0,Dong Hyun Kim,Damien Brown,Dong Hyun Kim,Lightweight
0,Israel Adesanya,Rob Wilkinson,Israel Adesanya,Middleweight
0,Alexander Volkanovski,Jeremy Kennedy,Alexander Volkanovski,Featherweight
0,Jussier Formiga,Ben Nguyen,Jussier Formiga,Flyweight
0,Ross Pearson,Mizuto Hirota,Ross Pearson,Lightweight
0,Jose Quinonez,Teruto Ishihara,Jose Quinonez,Bantamweight
0,Luke Jumeau,Daichi Abe,Luke Jumeau,Welterweight
0,Lyoto Machida,Eryk Anders,Lyoto Machida,Middleweight
0,Valentina Shevchenko,Priscila Cachoeira,Valentina Shevchenko,Women's Flyweight
0,Michel Prazeres,Desmond Green,Michel Prazeres,Lightweight
0,Tim Johnson,Marcelo Golm,Tim Johnson,Heavyweight
0,Douglas Silva de Andrade,Marlon Vera,Douglas Silva de Andrade,Bantamweight
0,Thiago Santos,Anthony Smith,Thiago Santos,Middleweight
0,Sergio Moraes,Tim Means,Sergio Moraes,Welterweight
0,Alan Patrick,Damir Hadzovic,Alan Patrick,Lightweight
0,Polyana Viana,Maia Stevenson,Polyana Viana,Women's Strawweight
0,Iuri Alcantara,Joe Soto,Iuri Alcantara,Bantamweight
0,Deiveson Figueiredo,Joseph Morales,Deiveson Figueiredo,Flyweight
0,Jacare Souza,Derek Brunson,Jacare Souza,Middleweight
0,Andre Fili,Dennis Bermudez,Andre Fili,Featherweight
0,Gregor Gillespie,Jordan Rinaldi,Gregor Gillespie,Lightweight
0,Drew Dober,Frank Camacho,Drew Dober,Welterweight
0,Bobby Green,Erik Koch,Bobby Green,Lightweight
0,Mirsad Bektic,Godofredo Pepey,Mirsad Bektic,Featherweight
0,Katlyn Chookagian,Mara Romero Borella,Katlyn Chookagian,Women's Flyweight
0,Randa Markos,Juliana Lima,Randa Markos,Women's Strawweight
0,Ji Yeon Kim,Justine Kish,Ji Yeon Kim,Women's Flyweight
0,Vinc Pichel,Joaquim Silva,Vinc Pichel,Lightweight
0,Niko Price,George Sullivan,Niko Price,Welterweight
0,Cory Sandhagen,Austin Arnett,Cory Sandhagen,Featherweight
0,Stipe Miocic,Francis Ngannou,Stipe Miocic,Heavyweight
0,Daniel Cormier,Volkan Oezdemir,Daniel Cormier,Light Heavyweight
0,Calvin Kattar,Shane Burgos,Calvin Kattar,Featherweight
0,Gian Villante,Francimar Barroso,Gian Villante,Light Heavyweight
0,Rob Font,Thomas Almeida,Rob Font,Bantamweight
0,Kyle Bochniak,Brandon Davis,Kyle Bochniak,Featherweight
0,Abdul Razak Alhassan,Sabah Homasi,Abdul Razak Alhassan,Welterweight
